date,category,title,amount
2020-02-07,serviços,Netflix.Com,45.9
2020-02-10,transporte,99* Pop,38.6
2020-02-14,,Pagamento recebido,-85.55
2020-03-01,,Multa de atraso,1.51
2020-03-01,,Juros e mora,0.37
2020-03-01,,IOF de atraso,0.31
